SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.859,74.807 ± 1.632,0.0min5.28s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min2.58s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min9.68s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min17.45s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min13.37s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min9.28s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min12.72s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min9.83s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min11.92s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min13.76s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min15.73s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min16.58s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min13.22s
SheafHyperGNNDiag_0.001_1e-05_6,74.010 ± 1.963,74.722 ± 1.575,0.0min11.35s
